github.com/AlDanial/cloc v 2.06  T=6.76 s (234.9 files/s, 27163.4 lines/s)
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                    blank        comment           code
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
.\tests\LinkCacheHelperTests\obj\project.assets.json                                                                                                        0              0           8749
.\tests\WeaponDataExtractorTests\obj\project.assets.json                                                                                                    0              0           8661
.\tests\AutoTests\obj\project.assets.json                                                                                                                   0              0           4808
.\MunitionAutoPatcher\obj\project.assets.json                                                                                                               0              0           4788
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Mutagen.Bethesda.Fallout4.csproj                                                                                    0              0           2546
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\MutableModLinkCache.cs                                                        309            301           1830
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\MutableLoadOrderLinkCache.cs                                                  308            203           1816
.\artifacts\RobCoPatcher3.ini                                                                                                                             604              3           1810
.\artifacts\RobCoPatcher4.ini                                                                                                                             604              3           1810
.\artifacts\RobCoPatcher5.ini                                                                                                                             604              3           1810
.\artifacts\munition_autopatcher_20251024_002730.ini                                                                                                      601              3           1800
.\artifacts\munition_autopatcher_20251024_003203.ini                                                                                                      601              3           1800
.\artifacts\munition_autopatcher_20251024_003633.ini                                                                                                      601              3           1800
.\artifacts\munition_autopatcher_20251024_005058.ini                                                                                                      601              3           1800
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\BinaryWriteBuilder.cs                                                                     209            839           1750
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Translations\ListBinaryTranslation.cs                                                                   77              7           1602
.\tests\LinkCacheHelperTests\bin\Release\net8.0-windows\LinkCacheHelperTests.deps.json                                                                      0              0           1588
.\tests\WeaponDataExtractorTests\bin\Release\net8.0-windows\WeaponDataExtractor.Tests.deps.json                                                             0              0           1553
.\artifacts\munition_autopatcher_20251024_145544.ini                                                                                                      497              3           1488
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\ImmutableLoadOrderLinkCache.cs                                                260            210           1423
.\mutagen-tmp\Mutagen.Bethesda.Fallout4\Records\Common Subrecords\Condition.cs                                                                             63              4           1336
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Cache\Internals\Implementations\ImmutableModLinkCache.cs                                                      242            127           1311
.\tests\AutoTests\bin\Release\net8.0-windows\AutoTests.deps.json                                                                                            0              0           1161
.\tests\WeaponDataExtractorTests\bin\Release\net8.0-windows\MunitionAutoPatcher.deps.json                                                                   0              0           1143
.\mutagen-tmp\Mutagen.Bethesda.Core\Plugins\Binary\Overlay\PluginBinaryOverlay.cs                                                                          60             32            957
